DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
11 February 01:50-1992,"359, 360",H-I,"JERS-1, ","NASDA, Final flight of H-I","Sun-synchronous, Final flight of H-I","Earth observation, Final flight of H-I","3 December 2001, Final flight of H-I","Successful, Final flight of H-I",Final flight,
17 February 22:05:08-1992,362,Kosmos-3M,Kosmos 2180 (Parus),MO RF,LEO,Navigation,In orbit,Successful,,
23 February 22:29-1992,364,Delta II 7925,USA-79 (GPS IIA-3),US Air Force,MEO,Navigation,In orbit,Operational,,
26 February 23:58:10-1992,"366, 367, 368",Ariane 4 44L,"Superbird-B1, Arabsat-1C, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","SCC, ARABSAT, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","GEO, Current: Graveyard Operational: GEO, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","Communications, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","In orbit, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT","Operational, Successful, Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT",,
4 March 04:27-1992,371,Molniya-M/ML,Molniya-1 #83,MOM,Molniya,Communications,1 July 2007,Successful,,
9 March 22:35:59-1992,373,Kosmos-3M,Kosmos 2181 (Tsikada),MO RF,LEO,Navigation,In orbit,Successful,,
14 March 00:00-1992,375,Atlas I,Galaxy 5,Hughes,GEO,Communications,In orbit,Operational,,
17 March 10:54:30-1992,"377, 378",Soyuz-U2,"Soyuz TM-14, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","Roskosmos, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","LEO (Mir), Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","Mir EO-11, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","10 August, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch","Successful, Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch",,
24 March 13:13:39-1992,"380, 381, 382",Space Shuttle Atlantis,"STS-45, Spacelab Double Pallet, Crewed orbital flight with seven astronauts including the first Belgian in space","NASA, Crewed orbital flight with seven astronauts including the first Belgian in space","LEO, LEO (Atlantis), Crewed orbital flight with seven astronauts including the first Belgian in space","Microgravity, Spacelab ATLAS-1, Crewed orbital flight with seven astronauts including the first Belgian in space","2 April, Crewed orbital flight with seven astronauts including the first Belgian in space","Successful, Crewed orbital flight with seven astronauts including the first Belgian in space",,
1 April 14:18-1992,385,Soyuz-U,Kosmos 2182 (Yantar-4K2),MO RF,LEO,Reconnaissance,30 May,Successful,,
2 April 01:50-1992,387,Proton-K/DM-2,Gorizont 25,YeSSS,GEO,Communications,In orbit,Successful,,
8 April 12:20-1992,389,Soyuz-U,Kosmos 2183 (Yantar-4K2),MO RF,LEO,Reconnaissance,16 February 1993,Successful,,
10 April 03:20-1992,391,Delta II 7925,USA-80 (GPS IIA-4),US Air Force,MEO,Navigation,In orbit,Successful,,
15 April 07:17:43-1992,393,Kosmos-3M,Kosmos 2184 (Parus),MO RF,LEO,Navigation,In orbit,Successful,,
15 April 23:25:27-1992,"395, 396",Ariane 4 44L,"Inmarsat-2F4, Télécom 2B","Inmarsat, France Télécom",GEO,Communications,In orbit,Operational,,
19 April 21:29:25-1992,398,Soyuz-U2,Progress M-12,Roskosmos,LEO (Mir),Logistics,27 June,Successful,,
25 April 08:53-1992,400,Titan 23G,USA-81 (Bernie/Singleton),NRO,LEO (Polar),ELINT,In orbit,Operational,,
29 April 09:00-1992,402,Soyuz-U,Resurs-F #14,MO RF,LEO,Remote sensing,29 May,Successful,,
29 April 10:10-1992,404,Soyuz-U,Kosmos 2185 (Yantar-1KFT),MO RF,LEO,Reconnaissance,11 June,Successful,,
7 May 23:40-1992,407,Space Shuttle Endeavour,STS-49,NASA,LEO,Satellite reboost,16 May,Successful,,
14 May 00:40-1992,410,Delta II 7925-8,Palapa-B4,Telkom,GEO,Communications,In orbit,Successful,,
20 May 00:30-1992,"412, 413",ASLV,"SROSS-C, Placed into incorrect orbit due to fifth stage spin-up failure","ISRO, Placed into incorrect orbit due to fifth stage spin-up failure","LEO, Placed into incorrect orbit due to fifth stage spin-up failure","Magnetosphere, Placed into incorrect orbit due to fifth stage spin-up failure","14 July, Placed into incorrect orbit due to fifth stage spin-up failure","Partial failure, Placed into incorrect orbit due to fifth stage spin-up failure",,
28 May 19:09:59-1992,415,Soyuz-U,Kosmos 2186 (Yantar-4K2),MO RF,LEO,Reconnaissance,24 July,Successful,,
3 June 00:50:30-1992,"418, 419, 420, 421, 422, 423, 424, 425",Kosmos-3M,"Kosmos 2187 (Strela-1M), Kosmos 2188 (Strela-1M), Kosmos 2189 (Strela-1M), Kosmos 2190 (Strela-1M), Kosmos 2191 (Strela 1M), Kosmos 2192 (Strela-1M), Kosmos 2193 (Strela-1M), Kosmos 2194 (Strela-1M)",MO RF,LEO,Communications,In orbit,Successful,,
7 June 16:40-1992,"427, 428",Delta II 6920-10,"EUVE, ","NASA, Final flight of Delta II 6920","LEO, Final flight of Delta II 6920","Ultraviolet astronomy, Final flight of Delta II 6920","31 January 2002, Final flight of Delta II 6920","Successful, Final flight of Delta II 6920",Final flight,
10 June 00:00-1992,430,Atlas IIA,Intelsat K,Intelsat,GEO,Communications,In orbit,Successful,,
23 June 08:00-1992,433,Soyuz-U,Resurs-F #15,MO RF,LEO,Remote sensing,9 July,Successful,,
25 June 16:12:22-1992,"435, 436, 437",Space Shuttle Columbia,"STS-50, Spacelab Long Module 1, EDO Pallet",NASA,"LEO, LEO (Columbia)","Microgravity, Spacelab USML-1, Cryogenic mission extension pallet",9 July,Successful,,
30 June 16:43:13-1992,440,Soyuz-U2,Progress M-13,Roskosmos,LEO (Mir),Logistics,24 July,Successful,,
1 July 20:16:22-1992,443,Kosmos-3M,Kosmos 2195 (Parus),MO RF,LEO,Navigation,In orbit,Successful,,
2 July 21:54:01-1992,445,Atlas II/IABS,USA-82 (DSCS IIIB-12),US Air Force,GEO,Communications,In orbit,Operational,,
3 July 14:19-1992,447,Scout G-1,SAMPEX (SMEX-1/Explorer 68),NASA,LEO,Solar,13 November 2012,Successful,,
7 July 09:20:01-1992,449,Delta II 7925,USA-83 (GPS IIA-5),US Air Force,MEO,Navigation,In orbit,Operational,,
8 July 09:53:14-1992,451,Molniya-M/2BL,Kosmos 2196 (Oko),MO RF,Molniya,Missile defence,In orbit,Successful,,
9 July 22:42:19-1992,"453, 454, 455",Ariane 4 44L,"INSAT-2A, Eutelsat 2F4, Eutelsat retired in 2003","ISRO, Eutelsat, Eutelsat retired in 2003","GEO, Eutelsat retired in 2003","Communications, Eutelsat retired in 2003","In orbit, Eutelsat retired in 2003","Successful, Eutelsat retired in 2003",,
13 July 17:41:40-1992,"457, 458, 459, 460, 461, 462",Tsyklon-3,"Kosmos 2197 (Strela-3), Kosmos 2198 (Strela-3), Kosmos 2199 (Gonets-D), Kosmos 2200 (Strela-3), Kosmos 2201 (Gonets-D), Kosmos 2202 (Strela-3)","MO RF, Roskosmos",LEO,Communications,In orbit,Successful,,
14 July 22:02-1992,464,Proton-K/DM-2,Gorizont 26,YeSSS,GEO,Communications,In orbit,Successful,,
24 July 14:26-1992,"466, 467, 468",Delta II 6925,"GEOTAIL, DUVE, ","ISAS/NASA, NASA/California, Final flight of Delta II 6000-series","High Earth, LEO, Final flight of Delta II 6000-series","Magnetosphere, Ultraviolet astronomy, Final flight of Delta II 6000-series","In orbit, 16 March 2003, Final flight of Delta II 6000-series","Successful[2], Successful, Final flight of Delta II 6000-series",Final flight,
24 July 19:40-1992,470,Soyuz-U,Kosmos 2203 (Yantar-4K2),MO RF,LEO,Reconnaissance,22 September,Successful,,
27 July 06:08:42-1992,"472, 473",Soyuz-U2,"Soyuz TM-15, Crewed orbital flight with three cosmonauts","Roskosmos, Crewed orbital flight with three cosmonauts","LEO (Mir), Crewed orbital flight with three cosmonauts","Mir EO-12, Crewed orbital flight with three cosmonauts","1 February 1993, Crewed orbital flight with three cosmonauts","Successful, Crewed orbital flight with three cosmonauts",,
30 July 01:59:01-1992,"475, 476, 477",Proton-K/DM-2,"Kosmos 2204 (GLONASS), Kosmos 2205 (GLONASS), Kosmos 2206 (GLONASS)",VKS,MEO,Navigation,In orbit,Successful,,
30 July 11:00-1992,479,Soyuz-U,Kosmos 2207 (Zenit-8),MO RF,LEO,Reconnaissance,13 August,Successful,,
31 July 13:56:48-1992,"481, 482, 483, 484",Space Shuttle Atlantis,"STS-46, TSS-1, EURECA, Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57","NASA, ASI, ESA, Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57","LEO, LEO (Atlantis), Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57","Satellite deployment, Technology, Microgravity/Solar, Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57","8 August, 1 July 1993, Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57","Successful, Failure, Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57",,
6 August 19:30:59-1992,487,Molniya-M/ML,Molniya-1 #84,MOM,Molniya,Communications,4 April 2008,Successful,,
9 August 08:00-1992,489,Long March 2D,FSW-2 #1,CASC,LEO,Reconnaissance,1 September,Successful,,
10 August 23:08:07-1992,"491, 492, 493, 494",Ariane 4 42P,"TOPEX/Poseidon, S80/T, KITSAT-1 (OSCAR-23), TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.","CNES/NASA, CNES, KAIST, TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.","LEO, TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.","Oceanography, Technology, Communications, TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.","In orbit, TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.","Successful, TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.",,
12 August 05:44:01-1992,496,Kosmos-3M,Kosmos 2208 (Strela-2M),MO RF,LEO,Communications,In orbit,Successful,,
13 August 23:00-1992,"498, 499",Long March 2E,"Optus B1, Retired and moved to graveyard orbit in May 2008","Optus, Retired and moved to graveyard orbit in May 2008","Current: Graveyard Operational: GEO, Retired and moved to graveyard orbit in May 2008","Communications, Retired and moved to graveyard orbit in May 2008","In orbit, Retired and moved to graveyard orbit in May 2008","Successful, Retired and moved to graveyard orbit in May 2008",,
15 August 22:18:32-1992,501,Soyuz-U2,Progress M-14,Roskosmos,LEO (Mir),Logistics,21 October,Successful,,
19 August 10:20-1992,"503, 504, 505",Soyuz-U,"Resurs-F #16, Pion-Germes 1, Pion-Germes 2","MO RF, MOM",LEO,Remote sensing,"4 September, 25 September, 24 September",Successful,,
22 August 22:40-1992,"507, 508",Atlas I,"Galaxy 1R, Upper stage turbopump failed to start, destroyed by range safety","Hughes, Upper stage turbopump failed to start, destroyed by range safety","Intended: GEO, Upper stage turbopump failed to start, destroyed by range safety","Communications, Upper stage turbopump failed to start, destroyed by range safety","22 August, Upper stage turbopump failed to start, destroyed by range safety","Launch failure, Upper stage turbopump failed to start, destroyed by range safety",,
31 August 10:41-1992,510,Delta II 7925,Satcom C4,GE Americom,GEO,Communications,In orbit,Successful,,
9 September 08:57-1992,513,Delta II 7925,USA-84 (GPS IIA-6),US Air Force,MEO,Navigation,In orbit,Operational,,
10 September 18:01:18-1992,515,Proton-K/DM-2,Kosmos 2209 (Prognoz),MO RF,GEO,Missile defence,In orbit,Operational,,
10 September 23:04-1992,"517, 518, 519",Ariane 4 44LP,"Hispasat 1A, Satcom C3, Hispasat retired in 2003","Hispasat, GE Americom, Hispasat retired in 2003","GEO, Hispasat retired in 2003","Communications, Hispasat retired in 2003","In orbit, Hispasat retired in 2003","Successful, Operational, Hispasat retired in 2003",,
12 September 14:23-1992,"521, 522, 523",Space Shuttle Endeavour,"STS-47, Spacelab Long Module 2, Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme","NASA, NASDA/NASA, Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme","LEO, LEO (Endeavour), Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme","Microgravity, Spacelab-J, Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme","20 September, Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme","Successful, Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme",,
22 September 16:10-1992,525,Soyuz-U,Kosmos 2210 (Yantar-4K2),MO RF,LEO,Reconnaissance,20 November,Successful,,
25 September 17:05:01-1992,527,Commercial Titan III/TOS,Mars Observer,NASA,Intended: Areocentric Achieved: Heliocentric,Mars orbiter,Unknown,Partial failure,,
6 October 06:20:05-1992,"531, 532, 533",Long March 2C,"FSW-1 #4, Freja, Freja mission ended 30 June 1995 and last contact made on 14 October 1996","CASC, SSC, Freja mission ended 30 June 1995 and last contact made on 14 October 1996","LEO, Freja mission ended 30 June 1995 and last contact made on 14 October 1996","Reconnaissance, Magnetosphere, Freja mission ended 30 June 1995 and last contact made on 14 October 1996","13 October, In orbit, Freja mission ended 30 June 1995 and last contact made on 14 October 1996","Successful, Freja mission ended 30 June 1995 and last contact made on 14 October 1996",,
8 October 19:00-1992,535,Soyuz-U,Foton-8,Roskosmos,LEO,Microgravity,24 October,Successful,,
12 October 09:47-1992,"537, 538",Delta II 7925,"DFS-3, Retired in February 2003","Bundespost, Retired in February 2003","Current: Graveyard Operational: GEO, Retired in February 2003","Communications, Retired in February 2003","In orbit, Retired in February 2003","Successful, Retired in February 2003",,
14 October 19:58-1992,540,Molniya-M/ML,Molniya-3 #50L,MOM,Molniya,Communications,In orbit,Operational,,
20 October 12:58:12-1992,"542, 543, 544, 545, 546, 547",Tsyklon-3,"Kosmos 2211 (Strela-3), Kosmos 2212 (Strela-3), Kosmos 2213 (Strela-3), Kosmos 2214 (Strela-3), Kosmos 2215 (Strela-3), Kosmos 2216 (Strela-3)",MO RF,LEO,Communications,In orbit,Successful,,
21 October 10:21:22-1992,549,Molniya-M/2BL,Kosmos 2217 (Oko),MO RF,Molniya,Missile defence,6 November 2010 04:22[3],Successful,,
22 October 17:09:40-1992,"551, 552, 553, 554",Space Shuttle Columbia,"STS-52, CANEX-2, LAGEOS-2, Crewed orbital flight with six astronauts","NASA, CSA, ASI, Crewed orbital flight with six astronauts","LEO, LEO (Columbia), MEO, Crewed orbital flight with six astronauts","USMP-1, Microgravity, Geodesy, Crewed orbital flight with six astronauts","1 November, In orbit, Crewed orbital flight with six astronauts","Successful, Operational, Crewed orbital flight with six astronauts",,
27 October 17:19:41-1992,"556, 557, 558, 559",Soyuz-U2,"Progress M-15, Mak-2, Znamya 2, Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993","Roskosmos, Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993","LEO (Mir), LEO, Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993","Logistics, Ionosphere, Solar mirror, Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993","7 February 1993, 1 April 1993, 5 February 1993, Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993","Successful, Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993",,
28 October 00:15-1992,"561, 562",Ariane 4 42P,"Galaxy 7, Major spacecraft malfunction November 2000","Hughes, Major spacecraft malfunction November 2000","GEO, Major spacecraft malfunction November 2000","Communications, Major spacecraft malfunction November 2000","In orbit, Major spacecraft malfunction November 2000","Spacecraft failure, Major spacecraft malfunction November 2000",,
29 October 10:40:33-1992,564,Kosmos-3M,Kosmos 2218 (Parus),MO RF,LEO,Navigation,In orbit,Successful,,
30 October 14:59-1992,566,Proton-K/DM-2,Ekran-M3,MOM,GEO,Communications,In orbit,Successful,,
15 November 21:45:01-1992,569,Soyuz-U,Resurs 500,MOM,LEO,Remote sensing,22 November,Successful,,
