Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Ariane 4 (42P),GStar 4,Spacenet,GEO,Communications,In orbit,,,1,9,1990.0,11.0,1.0,23.0
Molniya-M/ML,Molniya 1-79,,Molniya,Communications,30 August 2005,,,1,197,1990.0,11.0,4.0,3.0
Proton-K/DM-2,Gorizont 22,,GEO,Communications,In orbit,,,1,230,1990.0,11.0,4.0,13.0
Delta II 7925,GPS IIA-1 (USA-66),US Air Force,MEO,Navigation,In orbit,,,1,88,1990.0,11.0,0.0,21.0
Tsyklon-3,Kosmos 2106 (Tselina-D),,LEO,ELINT,7 April 2000,,,1,341,1990.0,11.0,2.0,16.0
Atlas-E/Star-37,USA-68 (DMSP-5D2 F10),US Air Force,Sun-synchronous,Weather satellite,In orbit,,,1,55,1990.0,12.0,5.0,15.0
Space Shuttle Columbia,STS-35,NASA,LEO,Astronomy,10 December 23:54,,,1,298,1990.0,12.0,6.0,6.0
Space Shuttle Columbia,Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,,,0,298,1990.0,12.0,6.0,6.0
Soyuz-U2,Soyuz TM-11,Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,LEO (Mir),Mir EO-8,26 May 1991 10:04,,,1,292,1990.0,12.0,6.0,8.0
Soyuz-U2,Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,Crewed orbital flight with 3 cosmonauts including the first Japanese space traveler.,,,0,292,1990.0,12.0,6.0,8.0
Tsyklon-2,Kosmos 2107 (US-P),,LEO,Naval Reconnaissance,6 April 1992,,,1,340,1990.0,12.0,1.0,0.0
Soyuz-U,Kosmos 2108 (Yantar-4K2),,LEO,Reconnaissance,28 January 1991,,,1,288,1990.0,12.0,1.0,18.0
Proton-K/DM-2,Kosmos 2109 (GLONASS),,MEO,Navigation,In orbit,,,1,230,1990.0,12.0,5.0,2.0
Proton-K/DM-2,Kosmos 2110 (GLONASS),,MEO,Navigation,In orbit,,,1,230,1990.0,12.0,5.0,2.0
Proton-K/DM-2,Kosmos 2111 (GLONASS),,MEO,Navigation,In orbit,,,1,230,1990.0,12.0,5.0,2.0
Kosmos-3M,Kosmos 2112 (Strela-2M),,LEO,Communications,In orbit,,,1,141,1990.0,12.0,0.0,7.0
Proton-K/DM-2,Raduga 26,,GEO,Communications,In orbit,,,1,230,1990.0,12.0,3.0,11.0
Soyuz-U,Kosmos 2113 (Yantar-4KS1),,LEO,Reconnaissance,11 June 1991,,,1,288,1990.0,12.0,4.0,6.0
Tsyklon-3,Kosmos 2114 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,12.0,5.0,7.0
Tsyklon-3,Kosmos 2115 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,12.0,5.0,7.0
Tsyklon-3,Kosmos 2116 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,12.0,5.0,7.0
Tsyklon-3,Kosmos 2117 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,12.0,5.0,7.0
Tsyklon-3,Kosmos 2118 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,12.0,5.0,7.0
Tsyklon-3,Kosmos 2119 (Strela-3),,LEO,Communications,In orbit,,,1,341,1990.0,12.0,5.0,7.0
Soyuz-U,Kosmos 2120 (Zenit-8),,LEO,Reconnaissance,17 January 1991,,,1,288,1990.0,12.0,2.0,11.0
Proton-K/DM-2,Raduga-1-2,,GEO,Communications,In orbit,,,1,230,1990.0,12.0,3.0,11.0
Soyuz-U,Kosmos 2175 (Yantar-4K2),VKS,LEO,Reconnaissance,20 March,,,1,288,1992.0,1.0,1.0,15.0
Soyuz-U,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,First Russian (post Soviet) satellite launch,,,0,288,1992.0,1.0,1.0,15.0
Space Shuttle Discovery[1],STS-42,NASA,LEO,Microgravity,30 January 16:07:17,,,1,302,1992.0,1.0,2.0,14.0
Space Shuttle Discovery[1],Spacelab Long Module 2,ESA/NASA,LEO (Discovery),Spacelab IML-1,Crewed orbital flight with seven astronauts,,,0,302,1992.0,1.0,2.0,14.0
Space Shuttle Discovery[1],Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,Crewed orbital flight with seven astronauts,,,0,302,1992.0,1.0,2.0,14.0
Molniya-M/2BL,Kosmos 2176 (Oko),VKS,Molniya,Missile defence,17 January 2012,,,1,194,1992.0,1.0,4.0,1.0
Soyuz-U2,Progress M-11,Roskosmos,LEO (Mir),Logistics,13 March,,,1,292,1992.0,1.0,5.0,7.0
Proton-K/DM-2,Kosmos 2177 (GLONASS),VKS,MEO,Navigation,In orbit,,,1,230,1992.0,1.0,2.0,22.0
Proton-K/DM-2,Kosmos 2178 (GLONASS),VKS,MEO,Navigation,In orbit,,,1,230,1992.0,1.0,2.0,22.0
Proton-K/DM-2,Kosmos 2179 (GLONASS),VKS,MEO,Navigation,In orbit,,,1,230,1992.0,1.0,2.0,22.0
Zenit-2,Tselina-2 #10,MO RF,Intended: LEO,ELINT,5 February,,,0,349,,,,
Zenit-2,Second stage overheated,Second stage overheated,Second stage overheated,Second stage overheated,Second stage overheated,,,0,349,,,,
Zenit-2,causing malfunction,causing malfunction,causing malfunction,causing malfunction,causing malfunction,,,0,349,,,,
Atlas II,USA-78 (DSCS IIIB-14),US Air Force,GEO,Communications,In orbit,,,1,35,1992.0,2.0,1.0,0.0
H-I,JERS-1,NASDA,Sun-synchronous,Earth observation,3 December 2001,Final flight,,1,129,1992.0,2.0,1.0,1.0
H-I,,Final flight of H-I,Final flight of H-I,Final flight of H-I,Final flight of H-I,Final flight,,0,129,1992.0,2.0,1.0,1.0
Kosmos-3M,Kosmos 2180 (Parus),MO RF,LEO,Navigation,In orbit,,,1,141,1992.0,2.0,0.0,22.0
Delta II 7925,USA-79 (GPS IIA-3),US Air Force,MEO,Navigation,In orbit,,,1,88,1992.0,2.0,6.0,22.0
Ariane 4 44L,Superbird-B1,SCC,GEO,Communications,In orbit,,,1,16,1992.0,2.0,2.0,23.0
Ariane 4 44L,Arabsat-1C,ARABSAT,Current: Graveyard Operational: GEO,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,,,1,16,1992.0,2.0,2.0,23.0
Ariane 4 44L,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,Arabsat sold to ISRO in November 1997 and operated until October 2004 as INSAT-2DT,,,0,16,1992.0,2.0,2.0,23.0
Molniya-M/ML,Molniya-1 #83,MOM,Molniya,Communications,1 July 2007,,,1,197,1992.0,3.0,2.0,4.0
Kosmos-3M,Kosmos 2181 (Tsikada),MO RF,LEO,Navigation,In orbit,,,1,141,1992.0,3.0,0.0,22.0
Atlas I,Galaxy 5,Hughes,GEO,Communications,In orbit,,,1,34,1992.0,3.0,5.0,0.0
Soyuz-U2,Soyuz TM-14,Roskosmos,LEO (Mir),Mir EO-11,10 August,,,1,292,1992.0,3.0,1.0,10.0
Soyuz-U2,Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch,Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch,Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch,Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch,Crewed orbital flight with three cosmonauts; First crewed Russian (post-Soviet) launch,,,0,292,1992.0,3.0,1.0,10.0
Space Shuttle Atlantis,STS-45,NASA,LEO,Microgravity,2 April,,,1,294,1992.0,3.0,1.0,13.0
Space Shuttle Atlantis,Spacelab Double Pallet,Crewed orbital flight with seven astronauts including the first Belgian in space,LEO (Atlantis),Spacelab ATLAS-1,Crewed orbital flight with seven astronauts including the first Belgian in space,,,0,294,1992.0,3.0,1.0,13.0
Space Shuttle Atlantis,Crewed orbital flight with seven astronauts including the first Belgian in space,Crewed orbital flight with seven astronauts including the first Belgian in space,Crewed orbital flight with seven astronauts including the first Belgian in space,Crewed orbital flight with seven astronauts including the first Belgian in space,Crewed orbital flight with seven astronauts including the first Belgian in space,,,0,294,1992.0,3.0,1.0,13.0
Soyuz-U,Kosmos 2182 (Yantar-4K2),MO RF,LEO,Reconnaissance,30 May,,,1,288,1992.0,4.0,2.0,14.0
Proton-K/DM-2,Gorizont 25,YeSSS,GEO,Communications,In orbit,,,1,230,1992.0,4.0,3.0,1.0
Soyuz-U,Kosmos 2183 (Yantar-4K2),MO RF,LEO,Reconnaissance,16 February 1993,,,1,288,1992.0,4.0,2.0,12.0
Delta II 7925,USA-80 (GPS IIA-4),US Air Force,MEO,Navigation,In orbit,,,1,88,1992.0,4.0,4.0,3.0
Kosmos-3M,Kosmos 2184 (Parus),MO RF,LEO,Navigation,In orbit,,,1,141,1992.0,4.0,2.0,7.0
Ariane 4 44L,Inmarsat-2F4,Inmarsat,GEO,Communications,In orbit,,,1,16,1992.0,4.0,2.0,23.0
Ariane 4 44L,Télécom 2B,France Télécom,GEO,Communications,In orbit,,,1,16,1992.0,4.0,2.0,23.0
Soyuz-U2,Progress M-12,Roskosmos,LEO (Mir),Logistics,27 June,,,1,292,1992.0,4.0,6.0,21.0
Titan 23G,USA-81 (Bernie/Singleton),NRO,LEO (Polar),ELINT,In orbit,,,1,322,1992.0,4.0,5.0,8.0
Soyuz-U,Resurs-F #14,MO RF,LEO,Remote sensing,29 May,,,1,288,1992.0,4.0,2.0,9.0
Soyuz-U,Kosmos 2185 (Yantar-1KFT),MO RF,LEO,Reconnaissance,11 June,,,1,288,1992.0,4.0,2.0,10.0
Space Shuttle Endeavour,STS-49,NASA,LEO,Satellite reboost,16 May,,,1,305,1992.0,5.0,3.0,23.0
Delta II 7925-8,Palapa-B4,Telkom,GEO,Communications,In orbit,,,1,92,1992.0,5.0,3.0,0.0
ASLV,SROSS-C,ISRO,LEO,Magnetosphere,14 July,,,0,0,1992.0,5.0,2.0,0.0
ASLV,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,Placed into incorrect orbit due to fifth stage spin-up failure,,,0,0,1992.0,5.0,2.0,0.0
Soyuz-U,Kosmos 2186 (Yantar-4K2),MO RF,LEO,Reconnaissance,24 July,,,1,288,1992.0,5.0,3.0,19.0
Kosmos-3M,Kosmos 2187 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2188 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2189 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2190 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2191 (Strela 1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2192 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2193 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Kosmos-3M,Kosmos 2194 (Strela-1M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,6.0,2.0,0.0
Delta II 6920-10,EUVE,NASA,LEO,Ultraviolet astronomy,31 January 2002,Final flight,,1,66,1992.0,6.0,6.0,16.0
Delta II 6920-10,,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight of Delta II 6920,Final flight,,0,66,1992.0,6.0,6.0,16.0
Atlas IIA,Intelsat K,Intelsat,GEO,Communications,In orbit,,,1,37,1992.0,6.0,2.0,0.0
Soyuz-U,Resurs-F #15,MO RF,LEO,Remote sensing,9 July,,,1,288,1992.0,6.0,1.0,8.0
Space Shuttle Columbia,STS-50,NASA,LEO,Microgravity,9 July,,,1,298,1992.0,6.0,3.0,16.0
Space Shuttle Columbia,Spacelab Long Module 1,NASA,LEO (Columbia),Spacelab USML-1,9 July,,,1,298,1992.0,6.0,3.0,16.0
Space Shuttle Columbia,EDO Pallet,NASA,LEO (Columbia),Cryogenic mission extension pallet,9 July,,,1,298,1992.0,6.0,3.0,16.0
Soyuz-U2,Progress M-13,Roskosmos,LEO (Mir),Logistics,24 July,,,1,292,1992.0,6.0,1.0,16.0
Kosmos-3M,Kosmos 2195 (Parus),MO RF,LEO,Navigation,In orbit,,,1,141,1992.0,7.0,2.0,20.0
Atlas II/IABS,USA-82 (DSCS IIIB-12),US Air Force,GEO,Communications,In orbit,,,1,36,1992.0,7.0,3.0,21.0
Scout G-1,SAMPEX (SMEX-1/Explorer 68),NASA,LEO,Solar,13 November 2012,,,1,262,1992.0,7.0,4.0,14.0
Delta II 7925,USA-83 (GPS IIA-5),US Air Force,MEO,Navigation,In orbit,,,1,88,1992.0,7.0,1.0,9.0
Molniya-M/2BL,Kosmos 2196 (Oko),MO RF,Molniya,Missile defence,In orbit,,,1,194,1992.0,7.0,2.0,9.0
Ariane 4 44L,INSAT-2A,ISRO,GEO,Communications,In orbit,,,1,16,1992.0,7.0,3.0,22.0
Ariane 4 44L,Eutelsat 2F4,Eutelsat,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,,,0,16,1992.0,7.0,3.0,22.0
Ariane 4 44L,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,Eutelsat retired in 2003,,,0,16,1992.0,7.0,3.0,22.0
Tsyklon-3,Kosmos 2197 (Strela-3),MO RF,LEO,Communications,In orbit,,,1,341,1992.0,7.0,0.0,17.0
Tsyklon-3,Kosmos 2198 (Strela-3),Roskosmos,LEO,Communications,In orbit,,,1,341,1992.0,7.0,0.0,17.0
Tsyklon-3,Kosmos 2199 (Gonets-D),Roskosmos,LEO,Communications,In orbit,,,1,341,1992.0,7.0,0.0,17.0
Tsyklon-3,Kosmos 2200 (Strela-3),Roskosmos,LEO,Communications,In orbit,,,1,341,1992.0,7.0,0.0,17.0
Tsyklon-3,Kosmos 2201 (Gonets-D),Roskosmos,LEO,Communications,In orbit,,,1,341,1992.0,7.0,0.0,17.0
Tsyklon-3,Kosmos 2202 (Strela-3),Roskosmos,LEO,Communications,In orbit,,,1,341,1992.0,7.0,0.0,17.0
Proton-K/DM-2,Gorizont 26,YeSSS,GEO,Communications,In orbit,,,1,230,1992.0,7.0,1.0,22.0
Delta II 6925,GEOTAIL,ISAS/NASA,High Earth,Magnetosphere,In orbit,Final flight,,1,68,1992.0,7.0,4.0,14.0
Delta II 6925,DUVE,NASA/California,LEO,Ultraviolet astronomy,16 March 2003,Final flight,,1,68,1992.0,7.0,4.0,14.0
Delta II 6925,,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight of Delta II 6000-series,Final flight,,0,68,1992.0,7.0,4.0,14.0
Soyuz-U,Kosmos 2203 (Yantar-4K2),MO RF,LEO,Reconnaissance,22 September,,,1,288,1992.0,7.0,4.0,19.0
Soyuz-U2,Soyuz TM-15,Roskosmos,LEO (Mir),Mir EO-12,1 February 1993,,,1,292,1992.0,7.0,0.0,6.0
Soyuz-U2,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,Crewed orbital flight with three cosmonauts,,,0,292,1992.0,7.0,0.0,6.0
Proton-K/DM-2,Kosmos 2204 (GLONASS),VKS,MEO,Navigation,In orbit,,,1,230,1992.0,7.0,3.0,1.0
Proton-K/DM-2,Kosmos 2205 (GLONASS),VKS,MEO,Navigation,In orbit,,,1,230,1992.0,7.0,3.0,1.0
Proton-K/DM-2,Kosmos 2206 (GLONASS),VKS,MEO,Navigation,In orbit,,,1,230,1992.0,7.0,3.0,1.0
Soyuz-U,Kosmos 2207 (Zenit-8),MO RF,LEO,Reconnaissance,13 August,,,1,288,1992.0,7.0,3.0,11.0
Space Shuttle Atlantis,STS-46,NASA,LEO,Satellite deployment,8 August,,,1,294,1992.0,7.0,4.0,13.0
Space Shuttle Atlantis,TSS-1,ASI,LEO (Atlantis),Technology,1 July 1993,,,0,294,1992.0,7.0,4.0,13.0
Space Shuttle Atlantis,EURECA,ESA,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,Microgravity/Solar,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,,,0,294,1992.0,7.0,4.0,13.0
Space Shuttle Atlantis,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,Crewed orbital flight with seven astronauts including the first Swiss and Italian in space TSS tether jammed during deployment; EURECA returned to Earth by Space Shuttle Endeavour during STS-57,,,0,294,1992.0,7.0,4.0,13.0
Molniya-M/ML,Molniya-1 #84,MOM,Molniya,Communications,4 April 2008,,,1,197,1992.0,8.0,3.0,19.0
Long March 2D,FSW-2 #1,CASC,LEO,Reconnaissance,1 September,,,1,154,1992.0,8.0,6.0,8.0
Ariane 4 42P,TOPEX/Poseidon,CNES/NASA,LEO,Oceanography,In orbit,,,1,15,1992.0,8.0,0.0,23.0
Ariane 4 42P,S80/T,CNES,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,Technology,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,,,0,15,1992.0,8.0,0.0,23.0
Ariane 4 42P,KITSAT-1 (OSCAR-23),KAIST,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,Communications,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,,,0,15,1992.0,8.0,0.0,23.0
Ariane 4 42P,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,TOPEX/Poseidon mission ended in October 2005 and was deactivated on 18 January 2006. KITSAT-1 was the first South Korean satellite.,,,0,15,1992.0,8.0,0.0,23.0
Kosmos-3M,Kosmos 2208 (Strela-2M),MO RF,LEO,Communications,In orbit,,,1,141,1992.0,8.0,2.0,5.0
Long March 2E,Optus B1,Optus,Current: Graveyard Operational: GEO,Communications,In orbit,,,1,156,1992.0,8.0,3.0,23.0
Long March 2E,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,Retired and moved to graveyard orbit in May 2008,,,0,156,1992.0,8.0,3.0,23.0
Soyuz-U2,Progress M-14,Roskosmos,LEO (Mir),Logistics,21 October,,,1,292,1992.0,8.0,5.0,22.0
Soyuz-U,Resurs-F #16,MO RF,LEO,Remote sensing,4 September,,,1,288,1992.0,8.0,2.0,10.0
Soyuz-U,Pion-Germes 1,MOM,LEO,Remote sensing,25 September,,,1,288,1992.0,8.0,2.0,10.0
Soyuz-U,Pion-Germes 2,MOM,LEO,Remote sensing,24 September,,,1,288,1992.0,8.0,2.0,10.0
Atlas I,Galaxy 1R,Hughes,Intended: GEO,Communications,22 August,,,0,34,1992.0,8.0,5.0,22.0
Atlas I,Upper stage turbopump failed to start,Upper stage turbopump failed to start,Upper stage turbopump failed to start,Upper stage turbopump failed to start,Upper stage turbopump failed to start,,,0,34,1992.0,8.0,5.0,22.0
Atlas I,destroyed by range safety,destroyed by range safety,destroyed by range safety,destroyed by range safety,destroyed by range safety,,,0,34,1992.0,8.0,5.0,22.0
Delta II 7925,Satcom C4,GE Americom,GEO,Communications,In orbit,,,1,88,1992.0,8.0,0.0,10.0
Delta II 7925,USA-84 (GPS IIA-6),US Air Force,MEO,Navigation,In orbit,,,1,88,1992.0,9.0,2.0,8.0
Proton-K/DM-2,Kosmos 2209 (Prognoz),MO RF,GEO,Missile defence,In orbit,,,1,230,1992.0,9.0,3.0,18.0
Ariane 4 44LP,Hispasat 1A,Hispasat,GEO,Communications,In orbit,,,1,17,1992.0,9.0,3.0,23.0
Ariane 4 44LP,Satcom C3,GE Americom,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,,,1,17,1992.0,9.0,3.0,23.0
Ariane 4 44LP,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,Hispasat retired in 2003,,,0,17,1992.0,9.0,3.0,23.0
Space Shuttle Endeavour,STS-47,NASA,LEO,Microgravity,20 September,,,1,305,1992.0,9.0,5.0,14.0
Space Shuttle Endeavour,Spacelab Long Module 2,NASDA/NASA,LEO (Endeavour),Spacelab-J,Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme,,,0,305,1992.0,9.0,5.0,14.0
Space Shuttle Endeavour,Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme,Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme,Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme,Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme,Crewed orbital flight with seven astronauts; 50th mission of the Space Shuttle programme,,,0,305,1992.0,9.0,5.0,14.0
Soyuz-U,Kosmos 2210 (Yantar-4K2),MO RF,LEO,Reconnaissance,20 November,,,1,288,1992.0,9.0,1.0,16.0
Commercial Titan III/TOS,Mars Observer,NASA,Intended: Areocentric Achieved: Heliocentric,Mars orbiter,Unknown,,,0,58,1992.0,9.0,4.0,17.0
Long March 2C,FSW-1 #4,CASC,LEO,Reconnaissance,13 October,,,1,151,1992.0,10.0,1.0,6.0
Long March 2C,Freja,SSC,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Magnetosphere,In orbit,,,0,151,1992.0,10.0,1.0,6.0
Long March 2C,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,Freja mission ended 30 June 1995 and last contact made on 14 October 1996,,,0,151,1992.0,10.0,1.0,6.0
Soyuz-U,Foton-8,Roskosmos,LEO,Microgravity,24 October,,,1,288,1992.0,10.0,3.0,19.0
Delta II 7925,DFS-3,Bundespost,Current: Graveyard Operational: GEO,Communications,In orbit,,,1,88,1992.0,10.0,0.0,9.0
