DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Tsyklon-3,Kosmos 2214 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2215 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2216 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1992
,Molniya-M/2BL,Kosmos 2217 (Oko),MO RF,Molniya,Missile defence,6 November 2010 04:22[3],Successful,1992
,Space Shuttle Columbia,STS-52,NASA,Low Earth,USMP-1,1 November,Successful,1992
,Space Shuttle Columbia,CANEX-2,CSA,Low Earth (Columbia),Microgravity,1 November,Successful,1992
,Space Shuttle Columbia,LAGEOS-2,ASI,Medium Earth,Geodesy,In orbit,Operational,1992
,Soyuz-U2,Progress M-15,Roskosmos,Low Earth (Mir),Logistics,7 February 1993,Successful,1992
,Soyuz-U2,Mak-2,Roskosmos,Low Earth,Ionosphere,1 April 1993,Successful,1992
,Soyuz-U2,Znamya 2,Roskosmos,Low Earth,Solar mirror,5 February 1993,Successful,1992
,Soyuz-U2,Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993,Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993,Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993,Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993,Mak-2 deployed from Mir on 20 November 1992; Znamya deployed from Progress on 4 February 1993,Mak-2 deployed from Mir on 20 November 1992,1992
,Ariane 4 42P,Galaxy 7,Hughes,Geostationary,Communications,In orbit,Spacecraft failure,1992
,Ariane 4 42P,Major spacecraft malfunction November 2000,Major spacecraft malfunction November 2000,Major spacecraft malfunction November 2000,Major spacecraft malfunction November 2000,Major spacecraft malfunction November 2000,Major spacecraft malfunction November 2000,1992
,Kosmos-3M,Kosmos 2218 (Parus),MO RF,Low Earth,Navigation,In orbit,Successful,1992
,Proton-K/DM-2,Ekran-M3,MOM,Geostationary,Communications,In orbit,Successful,1992
,Soyuz-U,Resurs 500,MOM,Low Earth,Remote sensing,22 November,Successful,1992
,Zenit-2,Kosmos 2219 (Tselina-2),MO RF,Low Earth,ELINT,In orbit,Operational,1992
,Soyuz-U,Kosmos 2220 (Yantar-4K2),MO RF,Low Earth,Reconnaissance,18 January 1993,Successful,1992
,Scout G-1,MSTI-1,US Air Force/SDIO,Sun-synchronous,Technology,18 July 1993,Successful,1992
,Delta II 7925,USA-85 (GPS IIA-7),US Air Force,Medium Earth,Navigation,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2221 (Tselina-D),MO RF,Low Earth,ELINT,In orbit,Successful,1992
,Molniya-M/2BL,Kosmos 2222 (Oko),MO RF,Molniya,Missile defence,3 May 2023 03:58[4],Successful,1992
,Proton-K/DM-2,Gorizont 27,YeSSS,Geostationary,Communications,In orbit,Successful,1992
,Titan IVA (404),USA-86 (KH-12-1),NRO,Sun-synchronous,Reconnaissance,5 June 2000,Successful,1992
,Ariane 4 42P,Superbird A1,SCC,Geostationary,Communications,In orbit,Successful,1992
,Molniya-M/ML,Molniya-3 #56L,MOM,Molniya,Communications,8 November 2008,Successful,1992
,Space Shuttle Discovery,STS-53,NASA,Low Earth,Satellite deployment,9 December,Successful,1992
,Space Shuttle Discovery,USA-89 (SDS-2-3),NRO,Molniya,Communications,In orbit,Operational,1992
,Space Shuttle Discovery,ODERACS A,NASA,Low Earth,Calibration,9 December,Failure,1992
,Space Shuttle Discovery,ODERACS B,NASA,Low Earth,Calibration,9 December,Failure,1992
,Space Shuttle Discovery,ODERACS C,NASA,Low Earth,Calibration,9 December,Failure,1992
,Space Shuttle Discovery,ODERACS D,NASA,Low Earth,Calibration,9 December,Failure,1992
,Space Shuttle Discovery,ODERACS E,NASA,Low Earth,Calibration,9 December,Failure,1992
,Space Shuttle Discovery,ODERACS F,NASA,Low Earth,Calibration,9 December,Failure,1992
,Soyuz-U,Kosmos 2223 (Yantar-4KS1),MO RF,Low Earth,Reconnaissance,16 December 1993,Successful,1992
,Proton-K/DM-2,Kosmos 2224 (Prognoz),MO RF,Geosynchronous,Missile defence,In orbit,Operational,1992
,Delta II 7925,USA-87 (GPS IIA-8),US Air Force,Medium Earth,Navigation,In orbit,Successful,1992
,Long March 2E,Optus B2,Optus,Intended: Geosynchronous Achieved: Low Earth,Communications,29 June 1995,Launch Partial Failure,1992
,Long March 2E,Payload fairing collapsed during ascent; rocket continued to orbit deploying remains of payload and upper stage into low Earth orbit,Payload fairing collapsed during ascent; rocket continued to orbit deploying remains of payload and upper stage into low Earth orbit,Payload fairing collapsed during ascent; rocket continued to orbit deploying remains of payload and upper stage into low Earth orbit,Payload fairing collapsed during ascent; rocket continued to orbit deploying remains of payload and upper stage into low Earth orbit,Payload fairing collapsed during ascent; rocket continued to orbit deploying remains of payload and upper stage into low Earth orbit,Payload fairing collapsed during ascent,1992
,Soyuz-U,Kosmos 2225 (Orlets),MO RF,Low Earth,Reconnaissance,18 February 1993,Successful,1992
,Tsyklon-3,Kosmos 2226 (Geo-IK),MO RF,Low Earth,Geodesy,In orbit,Successful,1992
,Zenit-2,Kosmos 2227 (Tselina-2),MO RF,Low Earth,ELINT,In orbit,Successful,1992
,Tsyklon-3,Kosmos 2228 (Tselina-D),MO RF,Low Earth,ELINT,In orbit,Successful,1992
,Soyuz-U,Kosmos 2229 (Bion 10),Roskosmos,Low Earth,Biological,10 January 1993,Successful,1992
,Kosmos-3M,Kosmos 2230 (Tsikada),MO RF,Low Earth,Navigation,In orbit,Successful,1993
,Molniya-M,Molniya-1-85,MOM,Molniya,Communications,15 November 2005,Successful,1993
,Space Shuttle Endeavour,STS-54,NASA,Low Earth,Satellite deployment,19 January 13:37:47,Successful,1993
,Space Shuttle Endeavour,TDRS-6 (TDRS-F),NASA,Geosynchronous,Communications,In orbit,Operational,1993
,Soyuz-U,Kosmos 2231 (Yantar-4K2-66),MOM,Low Earth,Reconnaissance,25 March,Successful,1993
,Soyuz-U2,Soyuz TM-16,Roskosmos,Low Earth (Mir),Mir EO-13,22 July,Successful,1993
,Molniya-M,Kosmos 2232 (Oko),MOM,Molniya,Missile defence,In orbit,Operational,1993
,Delta II (7925),USA-88 (GPS IIA-9),US Air Force,Medium Earth,Navigation,In orbit,Successful,1993
,Kosmos-3M,Kosmos 2233 (Parus),MO RF,Low Earth,Navigation,In orbit,Operational,1993
,Pegasus,Orbcomm CDS-1,Orbcomm,Low Earth,Communications,In orbit,Successful,1993
,Pegasus,SCD-1,INPE,Low Earth,Environmental,In orbit,Operational,1993
,Proton-K/DM-2,Kosmos 2234 (GLONASS),MOM,Medium Earth,Navigation,In orbit,Operational,1993
,Proton-K/DM-2,Kosmos 2235 (GLONASS),MOM,Medium Earth,Navigation,In orbit,Operational,1993
,Proton-K/DM-2,Kosmos 2236 (GLONASS),MOM,Medium Earth,Navigation,In orbit,Operational,1993
,Mu-3S-II,ASCA (ASTRO-D),ISAS,Low Earth,Astronomy,2 March 2001,Successful,1993
,Soyuz-U2,Progress M-16,Roskosmos,Low Earth (Mir),Logistics,27 March,Successful,1993
,Proton-K/DM-2,Raduga 29,MOM,Geostationary,Communications,In orbit,Operational,1993
,Start-1,EKA,MO RF,Low Earth,"Launch vehicle evaluation, mass simulator",In orbit,Successful,1993
,Atlas I,UHF-1,US Navy,Geosynchronous,Communications,In orbit,Launch failure,1993
,Atlas I,Booster engine failure left spacecraft in useless orbit,Booster engine failure left spacecraft in useless orbit,Booster engine failure left spacecraft in useless orbit,Booster engine failure left spacecraft in useless orbit,Booster engine failure left spacecraft in useless orbit,Booster engine failure left spacecraft in useless orbit,1993
,Zenit-2,Kosmos 2237 (Tselina-2),MO RF,Low Earth,ELINT,In orbit,Operational,1993
,Delta II (7925),USA-90 (GPS IIA-10),US Air Force,Medium Earth,Navigation,In orbit,Successful,1993
,Delta II (7925),Decommissioned on 24 October 2005,Decommissioned on 24 October 2005,Decommissioned on 24 October 2005,Decommissioned on 24 October 2005,Decommissioned on 24 October 2005,Decommissioned on 24 October 2005,1993
,Tsyklon-2,Kosmos 2238 (US-PM),MO RF,Low Earth,Reconnaissance,10 December 1994,Successful,1993
,Soyuz-U2,Progress M-17,Roskosmos,Low Earth (Mir),Logistics,3 March 1994,Successful,1993
,Kosmos-3M,Kosmos 2239 (Parus),MO RF,Low Earth,Navigation,In orbit,Operational,1993
,Soyuz-U,Kosmos 2240 (Yantar-4K2),MOM,Low Earth,Reconnaissance,7 June,Successful,1993
,Molniya-M,Kosmos 2241 (Oko),MOM,Molniya,Missile defence,8 March 2022[3],Successful,1993
,Space Shuttle Discovery,STS-56,NASA,Low Earth,Solar astronomy,17 April 11:37:19,Successful,1993
,Space Shuttle Discovery,Spacelab Pallet,ESA/NASA,Low Earth (Discovery),Spacelab ATLAS-2,17 April 11:37:19,Successful,1993
,Space Shuttle Discovery,SPARTAN-201,NASA,Low Earth (Discovery),Solar,17 April 11:37:19,Successful,1993
,Tsyklon-3,Kosmos 2242 (Tselina),MO RF,Low Earth,ELINT,In orbit,Operational,1993
,Molniya-M,Molniya 3-57L,MOM,Molniya,Communications,25 January 2004,Successful,1993
,Pegasus,Orbcomm CDS-2 (VSUME),Orbcomm,Low Earth,Communications,In orbit,Successful,1993
,Pegasus,Alexis,STP,Low Earth,Technology,In orbit,Successful,1993
,Space Shuttle Columbia,STS-55,NASA/DLR,Low Earth,Microgravity,6 May 14:30,Successful,1993
,Space Shuttle Columbia,Spacelab Long Module 1,NASA/DLR,Low Earth (Columbia),Spacelab D2,6 May 14:30,Successful,1993
,Soyuz-U,Kosmos 2243 (Yantar-1KFT),MOM,Low Earth,Reconnaissance,6 May,Spacecraft failure,1993
,Soyuz-U,Mission aborted after six days,Mission aborted after six days,Mission aborted after six days,Mission aborted after six days,Mission aborted after six days,Mission aborted after six days,1993
,Tsyklon-2,Kosmos 2244 (US-PM),MO RF,Low Earth,Reconnaissance,18 March 1995,Successful,1993
,Tsyklon-3,Kosmos 2245 (Strela),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2246 (Strela),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2247 (Strela),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2248 (Strela),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2249 (Strela),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Komsos 2250 (Strela),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Ariane 4 (42L),Astra 1C,SES Astra,Geostationary,Communications,In orbit,Operational,1993
,Ariane 4 (42L),Arsene (Oscar-24),RACE (Europe)/AMSAT,Medium Earth,Communications,In orbit,Partial satellite failure,1993
,Delta II (7925),USA-91 (GPS IIA-11),US Air Force,Medium Earth,Navigation,In orbit,Successful,1993
,Delta II (7925),Decommissioned on 20 December 2007,Decommissioned on 20 December 2007,Decommissioned on 20 December 2007,Decommissioned on 20 December 2007,Decommissioned on 20 December 2007,Decommissioned on 20 December 2007,1993
,Soyuz-U,Resurs F-17,MOM,Low Earth,Remote sensing,20 June,Successful,1993
,Soyuz-U2,Progress M-18,Roskosmos,Low Earth (Mir),Logistics,4 July,Successful,1993
,Molniya-M,Molniya 1–86,MOM,Molniya,Communications,In orbit,Operational,1993
,Proton-K/DM-2,Gorizont 28,RSCC,Intended: Geosynchronous,Communications,27 May,Launch Failure,1993
,Kosmos-3M,Kosmos 2251 (Strela-2M),MO RF,Low Earth,Communications,10 February 2009,Successful,1993
,Kosmos-3M,Collided with Iridium 33 after retirement.,Collided with Iridium 33 after retirement.[6],Collided with Iridium 33 after retirement.[6],Collided with Iridium 33 after retirement.[6],Collided with Iridium 33 after retirement.[6],Collided with Iridium 33 after retirement.,1993
,Space Shuttle Endeavour,STS-57,NASA,Low Earth,Microgravity,1 July 12:52,Successful,1993
,Space Shuttle Endeavour,SpaceHab LSM,NASA/SpaceHab,Low Earth (Endeavour),Scientific research,1 July 12:52,Successful,1993
,Tsyklon-3,Kosmos 2252 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2253 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2254 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2255 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2256 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Tsyklon-3,Kosmos 2257 (Strela-3),MO RF,Low Earth,Communications,In orbit,Successful,1993
,Ariane 4 (42P),Galaxy-4H,Hughes,Geosynchronous,Communications,In orbit,Operational,1993
,Soyuz-U,Resurs F-17,MOM,Low Earth,Remote sensing,12 July,Successful,1993
,Scout G-1,RADCAL (P92-1),US Air Force/STP,Low Earth (Polar),Radar calibration,In orbit,Successful,1993
,Delta II (7925),USA-92 (GPS IIA-12),US Air Force,Medium Earth,Navigation,In orbit,Operational,1993
,Delta II (7925),PMG,NASA,Low Earth,Technology,In orbit,Successful,1993
,Soyuz-U2,Soyuz TM-17,Roskosmos,Low Earth (Mir),Mir EO-14,14 January 1994,Successful,1993
,Soyuz-U2,Crewed orbital fight with three cosmonauts,Crewed orbital fight with three cosmonauts,Crewed orbital fight with three cosmonauts,Crewed orbital fight with three cosmonauts,Crewed orbital fight with three cosmonauts,Crewed orbital fight with three cosmonauts,1993
,Tsyklon-2,Kosmos 2258 (US-PM),MO RF,Low Earth,Reconnaissance,8 June 1995,Successful,1993
,Soyuz-U,Kosmos 2259 (Yantar-4K2),MOM,Low Earth,Reconnaissance,25 July,Successful,1993
,Atlas II/IABS,USA-93 (DSCS IIIB-9),US Air Force,Geostationary,Communications,In orbit,Operational,1993
,Soyuz-U,Kosmos 2260 (Zenit-8),MOM,Low Earth,Reconnaissance,5 August,Successful,1993
,Ariane 4 (44L),Hispasat 1B,Hispasat,Geostationary,Communications,In orbit,Operational,1993
,Ariane 4 (44L),INSAT-2B,ISRO,Geostationary,Communications,In orbit,Successful,1993
,Titan IVA (403),SLDCOM-3,NRO,Intended: Low Earth,Communications,T+101 seconds,Launch Failure,1993
,Titan IVA (403),NOSS-2-3A,US Navy,Intended: Low Earth,ELINT,T+101 seconds,Launch Failure,1993
,Titan IVA (403),NOSS-2-3B,US Navy,Intended: Low Earth,ELINT,T+101 seconds,Launch Failure,1993
,Titan IVA (403),NOSS-2-3C,US Navy,Intended: Low Earth,ELINT,T+101 seconds,Launch Failure,1993
,Titan IVA (403),Apogee: 33 kilometres (21 mi). One of the UA1207 solid rocket boosters exploded at T+101 seconds. Failure was attributed to damage caused by the ground crew due to an errant cut into one of the SRB segments while repairing the booster.,Apogee: 33 kilometres (21 mi). One of the UA1207 solid rocket boosters exploded at T+101 seconds. Failure was attributed to damage caused by the ground crew due to an errant cut into one of the SRB segments while repairing the booster.,Apogee: 33 kilometres (21 mi). One of the UA1207 solid rocket boosters exploded at T+101 seconds. Failure was attributed to damage caused by the ground crew due to an errant cut into one of the SRB segments while repairing the booster.,Apogee: 33 kilometres (21 mi). One of the UA1207 solid rocket boosters exploded at T+101 seconds. Failure was attributed to damage caused by the ground crew due to an errant cut into one of the SRB segments while repairing the booster.,Apogee: 33 kilometres (21 mi). One of the UA1207 solid rocket boosters exploded at T+101 seconds. Failure was attributed to damage caused by the ground crew due to an errant cut into one of the SRB segments while repairing the booster.,Apogee: 33 kilometres (21 mi). One of the UA1207 solid rocket boosters exploded at T+101 seconds. Failure was attributed to damage caused by the ground crew due to an errant cut into one of the SRB segments while repairing the booster.,1993
,Molniya-M,Molniya-3 No.58L,MOM,Molniya,Communications,31 December 2013,Successful,1993
,Atlas E,NOAA-13,NOAA,Sun-synchronous,Weather,In orbit,Successful,1993
,Molniya-M,Kosmos 2261 (Oko),MOM,Molniya,Missile defence,In orbit,Operational,1993
,Soyuz-U,Progress M-19,Roskosmos,Low Earth (Mir),Logistics,13 October,Successful,1993
,Soyuz-U,Resurs F-19,MOM,Low Earth,Remote sensing,10 September,Successful,1993
,Delta II (7925),USA-94 (GPS IIA-13),US Air Force,Medium Earth,Navigation,In orbit,Successful,1993
,Delta II (7925),Decommissioned on 1 May 2013,Decommissioned on 1 May 2013[8],Decommissioned on 1 May 2013[8],Decommissioned on 1 May 2013[8],Decommissioned on 1 May 2013[8],Decommissioned on 1 May 2013,1993
,Tsyklon-3,Meteor 2–21,Roskosmos,Low Earth,Weather,In orbit,Successful,1993
,Tsyklon-3,Temisat,Telespazio,Low Earth,Technology,In orbit,Successful,1993
,Atlas I,USA-95 (UHF-2),US Navy,Geosynchronous,Communications,In orbit,Operational,1993
,Soyuz-U2,Kosmos 2262 (Don),MOM,Low Earth,Reconnaissance,18 December,Successful,1993
,Space Shuttle Discovery,STS-51,NASA,Low Earth,Satellite deployment,22 September 07:56,Successful,1993
,Space Shuttle Discovery,ORFEUS-SPAS,NASA/DARA,Low Earth (Discovery),Astronomy,22 September 07:56,Successful,1993
,Space Shuttle Discovery,ACTS,NASA,Geosynchronous,Communications,In orbit,Successful,1993
,Zenit-2,Kosmos 2263 (Tselina-2),MO RF,Low Earth,ELINT,In orbit,Successful,1993
,Tsyklon-2,Kosmos 2264 (US-PM),MO RF,Low Earth,Reconnaissance,7 August 1995,Successful,1993
,PSLV,IRS 1E,ISRO,Intended: Low Earth,Remote sensing,20 September,Launch Failure,1993
,Ariane 4 (40),SPOT 3,Spot Image,Sun-synchronous,Remote sensing,In orbit,Successful,1993
,Ariane 4 (40),Stella,CNES,Low Earth,Gravity,In orbit,Successful,1993
